pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
Measles,75% lower,MI,2140194.8366,1778658.05,2339491.725
Measles,75% lower,MN,1274800.969,986662.0249999999,1449280.5
Measles,75% lower,MO,1403522.3821,1097837.5750000002,1575745.3
Measles,75% lower,MS,672127.9893,464788.02499999997,795543.4
Measles,75% lower,MT,192762.0279,79404,255920.65
Measles,75% lower,NC,2274484.3234,1926218.55,2480637.2249999996
Measles,75% lower,ND,164635.8814,6.975000000000001,232828.17500000002
Measles,75% lower,NE,439851.9813,263430.275,542040.3749999999
Measles,75% lower,NH,200062.15029999998,90287.09999999999,263222.7
Measles,75% lower,NJ,2005540.8183,1644564.35,2205308.8249999997
Measles,75% lower,NM,418630.8717,249974.125,514874.25
Measles,75% lower,NV,687920.2553,457045.05,814209.7749999999
Measles,75% lower,NY,4543582.3492,4088061.45,4805224.55
Measles,75% lower,OH,2671923.8258,2289748.075,2894341.25
Measles,75% lower,OK,924080.9581,663209.25,1072473.625
Measles,75% lower,OR,827975.1035,580212.05,961237.85
Measles,75% lower,PA,2659454.6168,2278021.425,2881674.75
Measles,75% lower,RI,164380.32839999997,61488.5,219798.22499999998
Measles,75% lower,SC,1102069.2714,830823.35,1253811.025
Measles,75% lower,SD,184966.39760000003,77220.875,251388.75
Measles,75% lower,TN,1530464.4544,1201993.475,1708778.3499999999
Measles,75% lower,TX,7975589.0679,7688053.125,8144142
Measles,75% lower,UT,921538.1495,651667.75,1088064.775
Measles,75% lower,VA,1937833.6157000002,1594797.6749999998,2143166.375
Measles,75% lower,VT,77890.4152,1,117584.9
Measles,75% lower,WA,1727668.4114,1342819.2999999998,1919002.8499999999
Measles,75% lower,WI,1225964.5613,938574.3999999999,1383825.7249999999
Measles,75% lower,WV,321574.9779,182287.325,400651.55
Measles,75% lower,WY,98955.45389999996,0,148490.075
Measles,50% lower,AK,114602.63450000001,1,176318.725
Measles,50% lower,AL,735748.4764,526532.475,870379.475
Measles,50% lower,AR,469022.12869999994,286722.4,576372.0499999999
Measles,50% lower,AZ,1138377.6855000001,848741.75,1312026.9000000001
Measles,50% lower,CA,6529261.7825,5997105.05,6865893.549999999
Measles,50% lower,CO,900116.0581,626084.975,1054504.925
Measles,50% lower,CT,403234.2263,227306.725,505692.5
Measles,50% lower,DC,96508.69569999998,1,151241.55
Measles,50% lower,DE,110571.84560000002,2.9750000000000014,160844.69999999998
Measles,50% lower,FL,3045622.0045,2663322.95,3307684.85
Measles,50% lower,GA,1743230.6643,1364225.75,1963790.4999999998
Measles,50% lower,HI,201685.10730000006,76781.2,276612.4
Measles,50% lower,IA,460793.13850000006,268040.2,572831.175
Measles,50% lower,ID,280854.4285,134406.325,369095.35
Measles,50% lower,IL,1978173.3562,1604372.35,2209862
Measles,50% lower,IN,1104464.0474,824869.025,1279685.9
Measles,50% lower,KS,447175.1155,246357.325,560371.0249999999
Measles,50% lower,KY,694857.0319000001,468287.17500000005,827027.7749999999
Measles,50% lower,LA,775572.9638,541563.525,919330.075
Measles,50% lower,MA,864018.7948,628783.7,1012918.7749999998
Measles,50% lower,MD,887932.6695999999,631836.35,1051452.975
Measles,50% lower,ME,132171.774,6,183070.24999999997
Measles,50% lower,MI,1480685.1892000001,1147132.0999999999,1679156.95
Measles,50% lower,MN,860280.3548,604061.5,1019849.275
Measles,50% lower,MO,965766.3902,700306.2999999999,1138213.075
Measles,50% lower,MS,460055.6086,269100.9,570366.6499999999
Measles,50% lower,MT,130400.54969999997,2,187406.94999999998
Measles,50% lower,NC,1520647.2068,1181188.525,1727884.5499999998
Measles,50% lower,ND,106875.1792,1,165228.725
Measles,50% lower,NE,284426.536,146331.175,374589.32499999995
Measles,50% lower,NH,131823.28830000004,5,184639.575
Measles,50% lower,NJ,1380003.7786,1051302.35,1576682.9
Measles,50% lower,NM,285147.0253,145130.42500000002,370328.25
Measles,50% lower,NV,487675.69629999995,278115.625,599731.825
Measles,50% lower,NY,3124052.8183,2706486.1999999997,3403773.55
Measles,50% lower,OH,1855173.6088999999,1506211.625,2084087.9999999998
Measles,50% lower,OK,640592.1999,431123.025,767451
Measles,50% lower,OR,585514.4886,382637.47500000003,701503.4
Measles,50% lower,PA,1841995.4038,1493726.925,2053444.2999999998
Measles,50% lower,RI,104169.5519,3,151827.82499999998
Measles,50% lower,SC,763003.1447000001,521811.5,900276.3999999999
Measles,50% lower,SD,122534.3769,3,178263.15
Measles,50% lower,TN,1042609.4648,763042.725,1214847.3249999997
Measles,50% lower,TX,5599907.4382,5065287.675,5877926.7
Measles,50% lower,UT,631656.4872,399003.77499999997,775916.2499999999
Measles,50% lower,VA,1332810.27,1016819.2000000001,1530280.65
Measles,50% lower,VT,46235.88660000001,0,83559.84999999999
Measles,50% lower,WA,1206152.2386,920841.5249999999,1391469.325
Measles,50% lower,WI,835625.9213,583143.5,988118.825
Measles,50% lower,WV,222358.5469,100940.1,293180.425
Measles,50% lower,WY,65725.1356,0,108311.75
Measles,45% lower,AK,103597.0222,1,163615.525
Measles,45% lower,AL,655354.5994999999,444959.7,794096.325
Measles,45% lower,AR,426638.42999999993,246800.05,531735.7749999999
Measles,45% lower,AZ,1042821.1691,779692.475,1217119.75
Measles,45% lower,CA,5932980.3558,5430584.15,6269382.85
Measles,45% lower,CO,818816.3748999999,545662.75,973741.725
Measles,45% lower,CT,362796.5169,206864.30000000002,459391.24999999994
Measles,45% lower,DC,85200.68719999999,1,138617.4
Measles,45% lower,DE,101182.36149999998,2,149790.275
Measles,45% lower,FL,2773172.7284,2389661.575,3033103.85
Measles,45% lower,GA,1583762.3032,1233412.825,1796639.5499999998
Measles,45% lower,HI,184603.4588,17769.950000000023,255771.42500000002
Measles,45% lower,IA,411278.374,227930.6,523051.3
Measles,45% lower,ID,257338.4216,116955.075,343524.05
Measles,45% lower,IL,1792443.5251000002,1414964.9000000001,2022341.75
Measles,45% lower,IN,1009889.4897,742333.9,1180295.55
Measles,45% lower,KS,408227.3187,230361.85,513136.3249999999
Measles,45% lower,KY,628658.3702,400382,764571.1749999999
Measles,45% lower,LA,699626.4457,462226.175,841361.8999999999
Measles,45% lower,MA,770828.8883,542444.525,918162.475
Measles,45% lower,MD,806127.8823,581037.675,953633.2749999999
Measles,45% lower,ME,119060.1153,4.975000000000001,169520.2
Measles,45% lower,MI,1344874.761,1061102.7750000001,1541890.4249999998
Measles,45% lower,MN,777157.2599,514483.30000000005,933252.5499999999
Measles,45% lower,MO,882497.1261,645137.25,1036985.2749999999
Measles,45% lower,MS,412131.0418,234759.175,524112.975
Measles,45% lower,MT,118804.0018,2,174338.82499999998
Measles,45% lower,NC,1365201.8043,1044122.9500000001,1564507.775
Measles,45% lower,ND,97551.3159,1,151691.225
Measles,45% lower,NE,253820.9826,125529.65,341271.1
Measles,45% lower,NH,113127.38279999999,4,164308.875
Measles,45% lower,NJ,1249675.3571,969809.45,1444597.2249999999
Measles,45% lower,NM,259616.0557,123618.075,341299.825
Measles,45% lower,NV,446847.30360000004,256661.025,558180.5499999999
Measles,45% lower,NY,2835981.0319,2430332.15,3134799.375
Measles,45% lower,OH,1690727.2886999997,1316617.875,1909853.825
Measles,45% lower,OK,572980.0137,340367.00000000006,705915.1
Measles,45% lower,OR,534098.5438,330052.5,648027.175
Measles,45% lower,PA,1668017.0154,1327320.875,1879923.4999999998
Measles,45% lower,RI,91925.98830000003,2,137770.14999999997
Measles,45% lower,SC,698821.7374999999,477405.175,833251.2
Measles,45% lower,SD,109339.77759999999,2,164089.7
Measles,45% lower,TN,940527.7386,686967.7000000001,1107218.1
Measles,45% lower,TX,5101383.0251,4639561.825,5402674.1
Measles,45% lower,UT,573817.3074,336311.475,715134.5
Measles,45% lower,VA,1208267.1863,913251.35,1397198.875
Measles,45% lower,VT,38065.69850000001,0,73577.025
Measles,45% lower,WA,1095695.9289,820083.35,1276462.8499999996
Measles,45% lower,WI,754385.1017,524218.5,901333.025
Measles,45% lower,WV,204771.11060000004,89970.15,271052.575
Measles,45% lower,WY,55795.23149999999,0,99729.2
Measles,40% lower,AK,95772.78679999997,1,152625.025
Measles,40% lower,AL,585359.8179,361619.575,716065.475
Measles,40% lower,AR,377787.68559999997,210109.225,483715.125
Measles,40% lower,AZ,946133.8187000001,687223.75,1110375.7249999999
Measles,40% lower,CA,5385821.4061,4882871.425000001,5671032.225
Measles,40% lower,CO,739208.0502,487980.5,891156.9999999999
Measles,40% lower,CT,315460.7506,163379.575,409801.425
Measles,40% lower,DC,75104.99749999998,0,126774.32499999998
Measles,40% lower,DE,84741.20379999999,2,133117.525
Measles,40% lower,FL,2501973.1243,2101128.1,2767832.2249999996
Measles,40% lower,GA,1424984.1542,1099796.6500000001,1631799.8499999999
Measles,40% lower,HI,162636.8152,10,231243.125
Measles,40% lower,IA,363116.7474,196819.625,470950.375
Measles,40% lower,ID,230037.7255,101276.57500000001,313370.05
Measles,40% lower,IL,1609855.0463999999,1239378.9500000002,1823268.95
Measles,40% lower,IN,904150.0746,656670.925,1069770.825
Measles,40% lower,KS,363665.74179999996,196302.975,467798.14999999997
Measles,40% lower,KY,566236.4073,342410.75,695136.5499999999
Measles,40% lower,LA,627060.6275,380585.85000000003,767065.7749999999
Measles,40% lower,MA,679385.4863999999,447533.275,818921.325
Measles,40% lower,MD,711455.4567,478686.025,857192.45
Measles,40% lower,ME,103170.29999999994,3,151239.375
Measles,40% lower,MI,1205167.7667,915056.6749999999,1392551
Measles,40% lower,MN,695916.2112,469294.45,842664.45
Measles,40% lower,MO,791512.3282999999,548236,946114.8250000001
Measles,40% lower,MS,371196.1836,199309.75,474950.5249999999
Measles,40% lower,MT,106956.70350000002,2,160690.675
Measles,40% lower,NC,1209501.0016,926610.8250000001,1401547.8499999999
Measles,40% lower,ND,85152.6238,1,137352.25
Measles,40% lower,NE,224232.49279999998,98707.55,308483.77499999997
Measles,40% lower,NH,101851.2109,3,150590.925
Measles,40% lower,NJ,1129151.03,838783.5249999999,1307997.575
Measles,40% lower,NM,232122.00129999997,107490.275,310721.85
Measles,40% lower,NV,403507.5987,225397.225,511541.07499999995
Measles,40% lower,NY,2560064.4929,2131315.975,2832607.8499999996
Measles,40% lower,OH,1522607.7216,1177337.425,1738195.125
Measles,40% lower,OK,513571.8643,305493.375,638623.1999999998
Measles,40% lower,OR,479151.06749999995,282164.875,593798
Measles,40% lower,PA,1492432.9709,1170104.55,1705288.225
Measles,40% lower,RI,78790.0721,2,123144.6
Measles,40% lower,SC,628575.1156,395385.775,760549.45
Measles,40% lower,SD,95183.78760000004,2,147850.125
Measles,40% lower,TN,839707.757,587515.525,998205.8250000001
Measles,40% lower,TX,4601771.7516,4147041.575,4914043.024999999
Measles,40% lower,UT,514355.4946,292371.4,651701.375
Measles,40% lower,VA,1083564.0718,813477.475,1265736.5
Measles,40% lower,VT,34093.01569999999,0,68634.2
Measles,40% lower,WA,988074.5933999999,707297.225,1161012.775
Measles,40% lower,WI,677321.2086,443932.475,813009.975
Measles,40% lower,WV,182092.0346,70080.5,246697.075
Measles,40% lower,WY,49153.0991,0,91973.075
Measles,35% lower,AK,80950.26010000001,1,139075.07499999998
Measles,35% lower,AL,510253.0024,304863.775,638224.5249999999
Measles,35% lower,AR,335917.6743,180419.65,435358.475
Measles,35% lower,AZ,841398.9107,591222.425,1003393.1
Measles,35% lower,CA,4773753.0146,4421569.1,5094846.15
Measles,35% lower,CO,662337.0573,432050.85000000003,802090.0249999999
Measles,35% lower,CT,270906.58119999996,141879.9,357822.6
Measles,35% lower,DC,64109.74900000001,0,114067.2
Measles,35% lower,DE,71475.43929999998,1,118522.15
Measles,35% lower,FL,2201626.7461,1770469.6500000001,2459404.3
Measles,35% lower,GA,1246517.2038,950572.725,1454567.775
Measles,35% lower,HI,142681.66389999999,7,209377.4
Measles,35% lower,IA,318482.8455,164995.34999999998,416799.975
Measles,35% lower,ID,205425.91899999997,76984.925,281293.05
Measles,35% lower,IL,1420282.3916,1092062.925,1637878.025
Measles,35% lower,IN,810135.0855,556601.95,966889.375
Measles,35% lower,KS,316294.71630000003,165159.625,419235.44999999995
Measles,35% lower,KY,503657.4023,297691.175,625587.2999999999
Measles,35% lower,LA,550503.9307,337514.30000000005,686457.8
Measles,35% lower,MA,578995.6774,338939.35000000003,717674.05
Measles,35% lower,MD,615272.4559,372744.225,756646.5499999999
Measles,35% lower,ME,87779.75669999998,3,134686
Measles,35% lower,MI,1064062.1759,804106.4,1241240.9999999998
Measles,35% lower,MN,602203.9665,352104.875,749572.2249999999
Measles,35% lower,MO,701006.9007999998,457570.02499999997,847810.6749999999
Measles,35% lower,MS,326521.4919,172193.625,425980.925
Measles,35% lower,MT,93895.52459999999,2,146199.375
Measles,35% lower,NC,1047711.7505,793356.95,1227540.975
Measles,35% lower,ND,70250.52650000002,1,122243.4
Measles,35% lower,NE,194331.33240000004,69592.50000000001,272043.375
Measles,35% lower,NH,85235.765,3,133063.85
Measles,35% lower,NJ,995277.3683999999,718310.225,1176727.7
Measles,35% lower,NM,202881.82150000005,77093.00000000001,277571.425
Measles,35% lower,NV,357611.3145999999,192547.25,463260.1
Measles,35% lower,NY,2266907.0522000003,1854957,2547169.5249999994
Measles,35% lower,OH,1349378.9594,1041480.775,1559665.8749999998
Measles,35% lower,OK,457530.3792,265306.875,577849.4249999999
Measles,35% lower,OR,423857.59349999996,247667.125,535819.375
Measles,35% lower,PA,1316524.1746999999,1012265.55,1519536.275
Measles,35% lower,RI,64583.81770000001,1,108277.59999999999
Measles,35% lower,SC,557776.2115,345935.675,683504.6
Measles,35% lower,SD,81501.20629999999,1,132917.55
Measles,35% lower,TN,739824.3169,494741.825,893449.575
Measles,35% lower,TX,4138379.8128,3714352.85,4422508.675
Measles,35% lower,UT,451358.09900000005,241707.9,585775.6
Measles,35% lower,VA,953125.5955999999,690248.975,1136325.625
Measles,35% lower,VT,28066.8294,0,61278.075000000004
Measles,35% lower,WA,881692.3418,609877.5249999999,1051614.4
Measles,35% lower,WI,592274.3356,365277.75,728654.7
Measles,35% lower,WV,162422.5086,16.950000000000003,225230.30000000002
Measles,35% lower,WY,43577.3423,0,82825.09999999999
Measles,30% lower,AK,69830.5017,0,126177.57499999998
Measles,30% lower,AL,434391.7734,239149.55,556241.5
Measles,30% lower,AR,289963.0532000001,149606.7,384353.625
Measles,30% lower,AZ,746039.016,479323.3,898090.8499999999
Measles,30% lower,CA,4176457.9469,3734087.5999999996,4559225.224999998
Measles,30% lower,CO,576901.2209,354217.875,715683.8499999999
Measles,30% lower,CT,223774.256,105008.9,305636.99999999994
Measles,30% lower,DC,52828.305599999985,0,101418.37499999999
Measles,30% lower,DE,59223.83959999999,1,103554.65
Measles,30% lower,FL,1905580.4775999999,1522244.825,2160605.0500000003
Measles,30% lower,GA,1079672.3393,805436.625,1280579.9749999999
Measles,30% lower,HI,122385.66980000005,4,185203.30000000002
Measles,30% lower,IA,267519.7702,125614.725,364969.3499999999
Measles,30% lower,ID,177128.2276,11,253290.82499999998
Measles,30% lower,IL,1227433.7841,944322.1,1439075.0749999997
Measles,30% lower,IN,707787.8343,461384.2,860123.5499999999
Measles,30% lower,KS,272303.24549999996,124027.2,368552.85
Measles,30% lower,KY,454585.8719,248875.3,868606.4499999997
Measles,30% lower,LA,478851.878,271374.1,606854.3
Measles,30% lower,MA,486908.07060000004,280215.45,613811.625
Measles,30% lower,MD,522511.3196,303574.575,657425.0499999999
Measles,30% lower,ME,74122.28619999999,3,118270.4
Measles,30% lower,MI,928444.0100000001,681286.275,1101618.75
Measles,30% lower,MN,515795.09830000007,297862.175,648899.1249999999
Measles,30% lower,MO,611158.3698000001,389694.15,753417.025
Measles,30% lower,MS,282772.08430000005,151707.025,376022.25
Measles,30% lower,MT,82351.36430000002,2,130581.17499999997
Measles,30% lower,NC,890514.1512,618983.175,1065762.625
Measles,30% lower,ND,57512.81989999997,0,108078.325
Measles,30% lower,NE,162162.13160000002,15,235460.275
Measles,30% lower,NH,71108.94829999999,2,115989.825
Measles,30% lower,NJ,868369.4895,601777.225,1038061.35
Measles,30% lower,NM,177514.5012,42.95,247397.25
Measles,30% lower,NV,315709.06870000006,159943.225,417245.0999999999
Measles,30% lower,NY,1935565.8716,1525288.25,2216736.725
Measles,30% lower,OH,1174520.5924,899233.7000000001,1367324.9
Measles,30% lower,OK,394291.0433,217109.6,506599.1
Measles,30% lower,OR,375517.2939,215322.725,479462.49999999994
Measles,30% lower,PA,1136385.7688,856823.425,1326278.8499999999
Measles,30% lower,RI,48934.21660000001,1,92941.35
Measles,30% lower,SC,483694.5339,296705.675,609245.1749999999
Measles,30% lower,SD,67204.2137,1,116968.59999999999
Measles,30% lower,TN,634701.5762,392830.95,783300.2749999999
Measles,30% lower,TX,3627176.3349,3202660.25,3978136.475
Measles,30% lower,UT,394727.5745,201045.925,516677.82499999995
Measles,30% lower,VA,829648.398,569311.7,998179
Measles,30% lower,VT,21544.719499999996,0,53119.6
Measles,30% lower,WA,767755.5340999999,505039.75,928735.975
Measles,30% lower,WI,506952.8061000001,303713.075,640778.1499999999
Measles,30% lower,WV,140478.0225,8,199869.92499999996
Measles,30% lower,WY,35254.231299999985,0,74524.25
Measles,25% lower,AK,58404.09020000001,0,111957.6
Measles,25% lower,AL,356559.33190000005,191204.025,470146.675
Measles,25% lower,AR,244467.28739999997,118593.97499999999,333208.45
Measles,25% lower,AZ,639512.4606000001,398091.75,787796.1499999999
Measles,25% lower,CA,3571125.7057,2965583.725,3941519.5
Measles,25% lower,CO,490856.96669999993,276525.64999999997,625597.225
Measles,25% lower,CT,177165.6975,73.975,250426.97499999998
Measles,25% lower,DC,41706.7583,0,87568.24999999999
Measles,25% lower,DE,45114.824100000005,1,88191.325
Measles,25% lower,FL,1595632.3139,1270782.975,1839545.0999999999
Measles,25% lower,GA,922928.5177,630301.85,1111455.0499999998
Measles,25% lower,HI,100042.39490000001,4,159507.6
Measles,25% lower,IA,222658.61850000004,101989.45,307580.25
Measles,25% lower,ID,149741.1414,8,221193.1
Measles,25% lower,IL,1043913.6963,754023.1749999999,1242196.9499999997
Measles,25% lower,IN,598181.5429000001,362140.725,746804.6499999999
Measles,25% lower,KS,233078.94939999995,104801.875,316072.75
Measles,25% lower,KY,364141.2532000001,194916.95,477462.44999999995
Measles,25% lower,LA,399014.443,220139.475,521346.57499999995
Measles,25% lower,MA,380882.8505,218425.19999999998,503983.75
Measles,25% lower,MD,420302.8765,230767.57499999998,547934.2999999999
Measles,25% lower,ME,56849.77349999999,2,100336.37499999999
Measles,25% lower,MI,783073.8544999999,497630.25,947134.725
Measles,25% lower,MN,429272.7723,237499.95,556312.8
Measles,25% lower,MO,515242.7045,299761.675,651702.5750000001
Measles,25% lower,MS,237382.78240000003,105953.6,324082.4749999999
Measles,25% lower,MT,70478.45180000002,1,116535.575
Measles,25% lower,NC,724095.4878,430873.15,895808.675
Measles,25% lower,ND,45389.2307,0,91433.2
Measles,25% lower,NE,129506.6688,10,198889.72499999998
Measles,25% lower,NH,53325.84819999999,2,98541.22499999999
Measles,25% lower,NJ,730886.3156,466828.225,895469.45
Measles,25% lower,NM,147747.43029999998,10,212286.09999999998
Measles,25% lower,NV,273270.93299999996,136281.85,366122.12499999994
Measles,25% lower,NY,1640185.3619000001,1302311.3,1888188.675
Measles,25% lower,OH,998705.1309999999,708648.65,1188254.4749999999
Measles,25% lower,OK,330941.022,175873.375,438287.44999999995
Measles,25% lower,OR,320633.4416,164834.025,418859.25
Measles,25% lower,PA,960959.0209,683050.375,1142946.8249999997
Measles,25% lower,RI,35776.60009999999,1,77030.59999999999
Measles,25% lower,SC,410498.4810999999,233707.025,525231.6
Measles,25% lower,SD,52217.62059999997,0,98748.67499999997
Measles,25% lower,TN,522790.80420000013,291918.775,664185.35
Measles,25% lower,TX,3112817.2955,2572628.5749999997,3471543.8499999996
Measles,25% lower,UT,328203.9041,163249.325,448730.175
Measles,25% lower,VA,700624.5169999999,444330.72500000003,860925.825
Measles,25% lower,VT,14336.209700000003,0,44133.7
Measles,25% lower,WA,659282.6730000001,416623.175,806199.95
Measles,25% lower,WI,422606.14229999995,238336.47499999998,547046.725
Measles,25% lower,WV,119370.07790000002,6.975000000000001,175033.6
Measles,25% lower,WY,28229.70399999999,0,64853.225
Measles,20% lower,AK,48861.6247,0,98072.62499999999
Measles,20% lower,AL,280908.67600000004,149103,382930.125
Measles,20% lower,AR,200302.6757,80087.6500000001,282012.77499999997
Measles,20% lower,AZ,532670.9805,308419.975,670132.1249999999
Measles,20% lower,CA,2853217.0046,2413098,3231956.55
Measles,20% lower,CO,411097.0069,229377.075,530844.175
Measles,20% lower,CT,129699.34009999999,16,197625.9
Measles,20% lower,DC,30122.952500000007,0,72596.49999999999
Measles,20% lower,DE,30937.430699999994,1,71837.35
Measles,20% lower,FL,1295921.8935,1009617.45,1538519.45
Measles,20% lower,GA,745154.8945000002,468590.425,927604.2250000001
Measles,20% lower,HI,78428.26250000001,3,135899.15
Measles,20% lower,IA,175189.89680000002,28,251000.09999999998
Measles,20% lower,ID,123509.2019,5,188774.44999999998
Measles,20% lower,IL,852953.5383,552361.7000000001,1038062
Measles,20% lower,IN,490179.83450000006,273838.125,629496.725
Measles,20% lower,KS,183113.01830000003,25,263278.94999999995
Measles,20% lower,KY,301387.3596999999,153210.475,403100.4749999999
Measles,20% lower,LA,321459.90160000004,170478.1,434852.55
Measles,20% lower,MA,285205.6376,157620.825,388188.75
Measles,20% lower,MD,322078.9029,168797.57499999998,437350.79999999993
Measles,20% lower,ME,41384.99259999998,1,83162.625
Measles,20% lower,MI,638045.5342000001,400092.975,792574.025
Measles,20% lower,MN,336716.05389999994,180397.525,453536.47500000003
Measles,20% lower,MO,416591.5771,220662.07499999998,545039.0499999999
Measles,20% lower,MS,193581.1398,3605.450000000001,270563.875
Measles,20% lower,MT,54613.41289999999,1,101092.92499999999
Measles,20% lower,NC,554003.8058999999,320340.42500000005,713161.8499999999
Measles,20% lower,ND,31544.42140000001,0,75553.54999999999
Measles,20% lower,NE,97792.43189999998,6.975000000000001,160940.025
Measles,20% lower,NH,36370.98939999999,2,78507.74999999999
Measles,20% lower,NJ,587162.584,335770.325,746961.1749999999
Measles,20% lower,NM,119111.06039999999,7,179958
Measles,20% lower,NV,228171.01490000004,95030.675,315770.1499999999
Measles,20% lower,NY,1325931.9725,1001629.025,1577047.0249999997
Measles,20% lower,OH,823827.1131999999,532206.35,1009491.5499999999
Measles,20% lower,OK,271089.6851,134751.9,366901.6749999999
Measles,20% lower,OR,266637.5942,132716.65,355293.625
Measles,20% lower,PA,774306.8693,487299.15,953382.3749999999
Measles,20% lower,RI,23258.024299999994,1,60593.549999999996
Measles,20% lower,SC,336827.4723,181250.075,443860.075
Measles,20% lower,SD,37556.249,1,82385.325
Measles,20% lower,TN,415423.0372,230419.55000000002,548644.075
Measles,20% lower,TX,2567041.978,2093037.4,2881738.75
Measles,20% lower,UT,267383.3829,115100.95,376405.65
