"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	17745
	"Alabama"	"01"	"2010"	"2010"	"25-29 years"	"25-29"	17683
	"Alabama"	"01"	"2010"	"2010"	"30-34 years"	"30-34"	11578
	"Alabama"	"01"	"2010"	"2010"	"35-39 years"	"35-39"	4590
	"Alabama"	"01"	"2010"	"2010"	"40-44 years"	"40-44"	956
	"Alabama"	"01"	"2010"	"2010"	"45-49 years"	"45-49"	41
	"Alabama"	"01"	"2010"	"2010"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2011"	"2011"	"Under 15 years"	"15"	95
	"Alabama"	"01"	"2011"	"2011"	"15-19 years"	"15-19"	6609
	"Alabama"	"01"	"2011"	"2011"	"20-24 years"	"20-24"	17591
	"Alabama"	"01"	"2011"	"2011"	"25-29 years"	"25-29"	17498
	"Alabama"	"01"	"2011"	"2011"	"30-34 years"	"30-34"	11949
	"Alabama"	"01"	"2011"	"2011"	"35-39 years"	"35-39"	4600
	"Alabama"	"01"	"2011"	"2011"	"40-44 years"	"40-44"	959
	"Alabama"	"01"	"2011"	"2011"	"45-49 years"	"45-49"	48
	"Alabama"	"01"	"2011"	"2011"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2012"	"2012"	"Under 15 years"	"15"	88
	"Alabama"	"01"	"2012"	"2012"	"15-19 years"	"15-19"	6195
	"Alabama"	"01"	"2012"	"2012"	"20-24 years"	"20-24"	17100
	"Alabama"	"01"	"2012"	"2012"	"25-29 years"	"25-29"	17347
	"Alabama"	"01"	"2012"	"2012"	"30-34 years"	"30-34"	12211
	"Alabama"	"01"	"2012"	"2012"	"35-39 years"	"35-39"	4574
	"Alabama"	"01"	"2012"	"2012"	"40-44 years"	"40-44"	885
	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	46
	"Alabama"	"01"	"2012"	"2012"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2013"	"2013"	"Under 15 years"	"15"	64
	"Alabama"	"01"	"2013"	"2013"	"15-19 years"	"15-19"	5392
	"Alabama"	"01"	"2013"	"2013"	"20-24 years"	"20-24"	17322
	"Alabama"	"01"	"2013"	"2013"	"25-29 years"	"25-29"	17480
	"Alabama"	"01"	"2013"	"2013"	"30-34 years"	"30-34"	12325
	"Alabama"	"01"	"2013"	"2013"	"35-39 years"	"35-39"	4631
	"Alabama"	"01"	"2013"	"2013"	"40-44 years"	"40-44"	897
	"Alabama"	"01"	"2013"	"2013"	"45-49 years"	"45-49"	52
	"Alabama"	"01"	"2013"	"2013"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2014"	"2014"	"Under 15 years"	"15"	64
	"Alabama"	"01"	"2014"	"2014"	"15-19 years"	"15-19"	5009
	"Alabama"	"01"	"2014"	"2014"	"20-24 years"	"20-24"	17092
	"Alabama"	"01"	"2014"	"2014"	"25-29 years"	"25-29"	18141
	"Alabama"	"01"	"2014"	"2014"	"30-34 years"	"30-34"	13176
	"Alabama"	"01"	"2014"	"2014"	"35-39 years"	"35-39"	4980
	"Alabama"	"01"	"2014"	"2014"	"40-44 years"	"40-44"	916
	"Alabama"	"01"	"2014"	"2014"	"45-49 years"	"45-49"	41
	"Alabama"	"01"	"2014"	"2014"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2015"	"2015"	"Under 15 years"	"15"	52
	"Alabama"	"01"	"2015"	"2015"	"15-19 years"	"15-19"	4739
	"Alabama"	"01"	"2015"	"2015"	"20-24 years"	"20-24"	16794
	"Alabama"	"01"	"2015"	"2015"	"25-29 years"	"25-29"	18531
	"Alabama"	"01"	"2015"	"2015"	"30-34 years"	"30-34"	13287
	"Alabama"	"01"	"2015"	"2015"	"35-39 years"	"35-39"	5272
	"Alabama"	"01"	"2015"	"2015"	"40-44 years"	"40-44"	928
	"Alabama"	"01"	"2015"	"2015"	"45-49 years"	"45-49"	51
	"Alabama"	"01"	"2015"	"2015"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"Under 15 years"	"15"	48
	"Alabama"	"01"	"2016"	"2016"	"15-19 years"	"15-19"	4480
	"Alabama"	"01"	"2016"	"2016"	"20-24 years"	"20-24"	16066
	"Alabama"	"01"	"2016"	"2016"	"25-29 years"	"25-29"	18649
	"Alabama"	"01"	"2016"	"2016"	"30-34 years"	"30-34"	13440
	"Alabama"	"01"	"2016"	"2016"	"35-39 years"	"35-39"	5505
	"Alabama"	"01"	"2016"	"2016"	"40-44 years"	"40-44"	924
	"Alabama"	"01"	"2016"	"2016"	"45-49 years"	"45-49"	34
	"Alabama"	"01"	"2016"	"2016"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Under 15 years"	"15"	44
	"Alabama"	"01"	"2017"	"2017"	"15-19 years"	"15-19"	4241
	"Alabama"	"01"	"2017"	"2017"	"20-24 years"	"20-24"	15780
	"Alabama"	"01"	"2017"	"2017"	"25-29 years"	"25-29"	18774
	"Alabama"	"01"	"2017"	"2017"	"30-34 years"	"30-34"	13425
	"Alabama"	"01"	"2017"	"2017"	"35-39 years"	"35-39"	5647
	"Alabama"	"01"	"2017"	"2017"	"40-44 years"	"40-44"	976
	"Alabama"	"01"	"2017"	"2017"	"45-49 years"	"45-49"	47
	"Alabama"	"01"	"2017"	"2017"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Under 15 years"	"15"	38
	"Alabama"	"01"	"2018"	"2018"	"15-19 years"	"15-19"	3924
	"Alabama"	"01"	"2018"	"2018"	"20-24 years"	"20-24"	15268
	"Alabama"	"01"	"2018"	"2018"	"25-29 years"	"25-29"	18348
	"Alabama"	"01"	"2018"	"2018"	"30-34 years"	"30-34"	13422
	"Alabama"	"01"	"2018"	"2018"	"35-39 years"	"35-39"	5673
	"Alabama"	"01"	"2018"	"2018"	"40-44 years"	"40-44"	1023
	"Alabama"	"01"	"2018"	"2018"	"45-49 years"	"45-49"	56
	"Alabama"	"01"	"2018"	"2018"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2019"	"2019"	"Under 15 years"	"15"	47
	"Alabama"	"01"	"2019"	"2019"	"15-19 years"	"15-19"	3955
	"Alabama"	"01"	"2019"	"2019"	"20-24 years"	"20-24"	15279
	"Alabama"	"01"	"2019"	"2019"	"25-29 years"	"25-29"	18662
	"Alabama"	"01"	"2019"	"2019"	"30-34 years"	"30-34"	13777
	"Alabama"	"01"	"2019"	"2019"	"35-39 years"	"35-39"	5782
	"Alabama"	"01"	"2019"	"2019"	"40-44 years"	"40-44"	1047
	"Alabama"	"01"	"2019"	"2019"	"45-49 years"	"45-49"	63
	"Alabama"	"01"	"2019"	"2019"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2020"	"2020"	"Under 15 years"	"15"	50
	"Alabama"	"01"	"2020"	"2020"	"15-19 years"	"15-19"	3788
	"Alabama"	"01"	"2020"	"2020"	"20-24 years"	"20-24"	14578
	"Alabama"	"01"	"2020"	"2020"	"25-29 years"	"25-29"	18218
	"Alabama"	"01"	"2020"	"2020"	"30-34 years"	"30-34"	13890
	"Alabama"	"01"	"2020"	"2020"	"35-39 years"	"35-39"	5938
	"Alabama"	"01"	"2020"	"2020"	"40-44 years"	"40-44"	1120
	"Alabama"	"01"	"2020"	"2020"	"45-49 years"	"45-49"	60
	"Alabama"	"01"	"2020"	"2020"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2021"	"2021"	"Under 15 years"	"15"	59
	"Alabama"	"01"	"2021"	"2021"	"15-19 years"	"15-19"	3641
	"Alabama"	"01"	"2021"	"2021"	"20-24 years"	"20-24"	14387
	"Alabama"	"01"	"2021"	"2021"	"25-29 years"	"25-29"	18179
	"Alabama"	"01"	"2021"	"2021"	"30-34 years"	"30-34"	14442
	"Alabama"	"01"	"2021"	"2021"	"35-39 years"	"35-39"	6124
	"Alabama"	"01"	"2021"	"2021"	"40-44 years"	"40-44"	1159
	"Alabama"	"01"	"2021"	"2021"	"45-49 years"	"45-49"	58
	"Alabama"	"01"	"2021"	"2021"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2022"	"2022"	"Under 15 years"	"15"	49
	"Alabama"	"01"	"2022"	"2022"	"15-19 years"	"15-19"	3445
	"Alabama"	"01"	"2022"	"2022"	"20-24 years"	"20-24"	14113
	"Alabama"	"01"	"2022"	"2022"	"25-29 years"	"25-29"	18274
	"Alabama"	"01"	"2022"	"2022"	"30-34 years"	"30-34"	14673
	"Alabama"	"01"	"2022"	"2022"	"35-39 years"	"35-39"	6304
	"Alabama"	"01"	"2022"	"2022"	"40-44 years"	"40-44"	1216
	"Alabama"	"01"	"2022"	"2022"	"45-49 years"	"45-49"	71
	"Alabama"	"01"	"2022"	"2022"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2023"	"2023"	"Under 15 years"	"15"	50
	"Alabama"	"01"	"2023"	"2023"	"15-19 years"	"15-19"	3417
	"Alabama"	"01"	"2023"	"2023"	"20-24 years"	"20-24"	13899
	"Alabama"	"01"	"2023"	"2023"	"25-29 years"	"25-29"	17834
	"Alabama"	"01"	"2023"	"2023"	"30-34 years"	"30-34"	14756
	"Alabama"	"01"	"2023"	"2023"	"35-39 years"	"35-39"	6533
	"Alabama"	"01"	"2023"	"2023"	"40-44 years"	"40-44"	1299
	"Alabama"	"01"	"2023"	"2023"	"45-49 years"	"45-49"	63
	"Alabama"	"01"	"2023"	"2023"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"15-19 years"	"15-19"	1117
	"Alaska"	"02"	"2007"	"2007"	"20-24 years"	"20-24"	3316
	"Alaska"	"02"	"2007"	"2007"	"25-29 years"	"25-29"	3184
	"Alaska"	"02"	"2007"	"2007"	"30-34 years"	"30-34"	2089
	"Alaska"	"02"	"2007"	"2007"	"35-39 years"	"35-39"	1054
	"Alaska"	"02"	"2007"	"2007"	"40-44 years"	"40-44"	262
	"Alaska"	"02"	"2007"	"2007"	"45-49 years"	"45-49"	23
	"Alaska"	"02"	"2007"	"2007"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"15-19 years"	"15-19"	1135
	"Alaska"	"02"	"2008"	"2008"	"20-24 years"	"20-24"	3350
	"Alaska"	"02"	"2008"	"2008"	"25-29 years"	"25-29"	3388
	"Alaska"	"02"	"2008"	"2008"	"30-34 years"	"30-34"	2189
	"Alaska"	"02"	"2008"	"2008"	"35-39 years"	"35-39"	1084
	"Alaska"	"02"	"2008"	"2008"	"40-44 years"	"40-44"	273
	"Alaska"	"02"	"2008"	"2008"	"45-49 years"	"45-49"	16
	"Alaska"	"02"	"2008"	"2008"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2009"	"2009"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2009"	"2009"	"15-19 years"	"15-19"	1106
	"Alaska"	"02"	"2009"	"2009"	"20-24 years"	"20-24"	3146
	"Alaska"	"02"	"2009"	"2009"	"25-29 years"	"25-29"	3410
	"Alaska"	"02"	"2009"	"2009"	"30-34 years"	"30-34"	2268
	"Alaska"	"02"	"2009"	"2009"	"35-39 years"	"35-39"	1123
	"Alaska"	"02"	"2009"	"2009"	"40-44 years"	"40-44"	242
	"Alaska"	"02"	"2009"	"2009"	"45-49 years"	"45-49"	19
	"Alaska"	"02"	"2009"	"2009"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2010"	"2010"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2010"	"2010"	"15-19 years"	"15-19"	956
	"Alaska"	"02"	"2010"	"2010"	"20-24 years"	"20-24"	3309
	"Alaska"	"02"	"2010"	"2010"	"25-29 years"	"25-29"	3447
	"Alaska"	"02"	"2010"	"2010"	"30-34 years"	"30-34"	2454
	"Alaska"	"02"	"2010"	"2010"	"35-39 years"	"35-39"	1013
	"Alaska"	"02"	"2010"	"2010"	"40-44 years"	"40-44"	269
	"Alaska"	"02"	"2010"	"2010"	"45-49 years"	"45-49"	16
	"Alaska"	"02"	"2010"	"2010"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2011"	"2011"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2011"	"2011"	"15-19 years"	"15-19"	880
	"Alaska"	"02"	"2011"	"2011"	"20-24 years"	"20-24"	3252
	"Alaska"	"02"	"2011"	"2011"	"25-29 years"	"25-29"	3462
	"Alaska"	"02"	"2011"	"2011"	"30-34 years"	"30-34"	2460
	"Alaska"	"02"	"2011"	"2011"	"35-39 years"	"35-39"	1121
	"Alaska"	"02"	"2011"	"2011"	"40-44 years"	"40-44"	261
	"Alaska"	"02"	"2011"	"2011"	"45-49 years"	"45-49"	14
	"Alaska"	"02"	"2011"	"2011"	"50 years and over"	"50+"	0
	"Alaska"	"02"	"2012"	"2012"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2012"	"2012"	"15-19 years"	"15-19"	817
	"Alaska"	"02"	"2012"	"2012"	"20-24 years"	"20-24"	2977
	"Alaska"	"02"	"2012"	"2012"	"25-29 years"	"25-29"	3380
	"Alaska"	"02"	"2012"	"2012"	"30-34 years"	"30-34"	2572
	"Alaska"	"02"	"2012"	"2012"	"35-39 years"	"35-39"	1113
	"Alaska"	"02"	"2012"	"2012"	"40-44 years"	"40-44"	295
	"Alaska"	"02"	"2012"	"2012"	"45-49 years"	"45-49"	20
	"Alaska"	"02"	"2012"	"2012"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2013"	"2013"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2013"	"2013"	"15-19 years"	"15-19"	708
	"Alaska"	"02"	"2013"	"2013"	"20-24 years"	"20-24"	2997
	"Alaska"	"02"	"2013"	"2013"	"25-29 years"	"25-29"	3547
	"Alaska"	"02"	"2013"	"2013"	"30-34 years"	"30-34"	2712
	"Alaska"	"02"	"2013"	"2013"	"35-39 years"	"35-39"	1172
	"Alaska"	"02"	"2013"	"2013"	"40-44 years"	"40-44"	277
	"Alaska"	"02"	"2013"	"2013"	"45-49 years"	"45-49"	22
	"Alaska"	"02"	"2013"	"2013"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"15-19 years"	"15-19"	645
	"Alaska"	"02"	"2014"	"2014"	"20-24 years"	"20-24"	2980
	"Alaska"	"02"	"2014"	"2014"	"25-29 years"	"25-29"	3536
	"Alaska"	"02"	"2014"	"2014"	"30-34 years"	"30-34"	2844
	"Alaska"	"02"	"2014"	"2014"	"35-39 years"	"35-39"	1115
	"Alaska"	"02"	"2014"	"2014"	"40-44 years"	"40-44"	247
	"Alaska"	"02"	"2014"	"2014"	"45-49 years"	"45-49"	17
	"Alaska"	"02"	"2014"	"2014"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"15-19 years"	"15-19"	662
	"Alaska"	"02"	"2015"	"2015"	"20-24 years"	"20-24"	2723
	"Alaska"	"02"	"2015"	"2015"	"25-29 years"	"25-29"	3525
	"Alaska"	"02"	"2015"	"2015"	"30-34 years"	"30-34"	2893
	"Alaska"	"02"	"2015"	"2015"	"35-39 years"	"35-39"	1230
	"Alaska"	"02"	"2015"	"2015"	"40-44 years"	"40-44"	230
	"Alaska"	"02"	"2015"	"2015"	"45-49 years"	"45-49"	16
	"Alaska"	"02"	"2015"	"2015"	"50 years and over"	"50+"	0
	"Alaska"	"02"	"2016"	"2016"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"15-19 years"	"15-19"	583
	"Alaska"	"02"	"2016"	"2016"	"20-24 years"	"20-24"	2563
	"Alaska"	"02"	"2016"	"2016"	"25-29 years"	"25-29"	3546
	"Alaska"	"02"	"2016"	"2016"	"30-34 years"	"30-34"	2965
	"Alaska"	"02"	"2016"	"2016"	"35-39 years"	"35-39"	1299
	"Alaska"	"02"	"2016"	"2016"	"40-44 years"	"40-44"	226
	"Alaska"	"02"	"2016"	"2016"	"45-49 years"	"45-49"	18
	"Alaska"	"02"	"2016"	"2016"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"15-19 years"	"15-19"	486
	"Alaska"	"02"	"2017"	"2017"	"20-24 years"	"20-24"	2259
	"Alaska"	"02"	"2017"	"2017"	"25-29 years"	"25-29"	3369
	"Alaska"	"02"	"2017"	"2017"	"30-34 years"	"30-34"	2735
	"Alaska"	"02"	"2017"	"2017"	"35-39 years"	"35-39"	1303
	"Alaska"	"02"	"2017"	"2017"	"40-44 years"	"40-44"	266
	"Alaska"	"02"	"2017"	"2017"	"45-49 years"	"45-49"	20
	"Alaska"	"02"	"2017"	"2017"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"15-19 years"	"15-19"	423
	"Alaska"	"02"	"2018"	"2018"	"20-24 years"	"20-24"	2182
	"Alaska"	"02"	"2018"	"2018"	"25-29 years"	"25-29"	3140
	"Alaska"	"02"	"2018"	"2018"	"30-34 years"	"30-34"	2767
	"Alaska"	"02"	"2018"	"2018"	"35-39 years"	"35-39"	1304
	"Alaska"	"02"	"2018"	"2018"	"40-44 years"	"40-44"	256
	"Alaska"	"02"	"2018"	"2018"	"45-49 years"	"45-49"	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"15-19 years"	"15-19"	393
	"Alaska"	"02"	"2019"	"2019"	"20-24 years"	"20-24"	2053
	"Alaska"	"02"	"2019"	"2019"	"25-29 years"	"25-29"	3084
	"Alaska"	"02"	"2019"	"2019"	"30-34 years"	"30-34"	2628
	"Alaska"	"02"	"2019"	"2019"	"35-39 years"	"35-39"	1356
	"Alaska"	"02"	"2019"	"2019"	"40-44 years"	"40-44"	287
	"Alaska"	"02"	"2019"	"2019"	"45-49 years"	"45-49"	17
	"Alaska"	"02"	"2019"	"2019"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"15-19 years"	"15-19"	378
	"Alaska"	"02"	"2020"	"2020"	"20-24 years"	"20-24"	1954
	"Alaska"	"02"	"2020"	"2020"	"25-29 years"	"25-29"	2896
	"Alaska"	"02"	"2020"	"2020"	"30-34 years"	"30-34"	2629
	"Alaska"	"02"	"2020"	"2020"	"35-39 years"	"35-39"	1326
	"Alaska"	"02"	"2020"	"2020"	"40-44 years"	"40-44"	267
	"Alaska"	"02"	"2020"	"2020"	"45-49 years"	"45-49"	13
	"Alaska"	"02"	"2020"	"2020"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"15-19 years"	"15-19"	378
	"Alaska"	"02"	"2021"	"2021"	"20-24 years"	"20-24"	1933
	"Alaska"	"02"	"2021"	"2021"	"25-29 years"	"25-29"	2749
	"Alaska"	"02"	"2021"	"2021"	"30-34 years"	"30-34"	2616
	"Alaska"	"02"	"2021"	"2021"	"35-39 years"	"35-39"	1382
	"Alaska"	"02"	"2021"	"2021"	"40-44 years"	"40-44"	292
	"Alaska"	"02"	"2021"	"2021"	"45-49 years"	"45-49"	16
	"Alaska"	"02"	"2021"	"2021"	"50 years and over"	"50+"	0
	"Alaska"	"02"	"2022"	"2022"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2022"	"2022"	"15-19 years"	"15-19"	357
	"Alaska"	"02"	"2022"	"2022"	"20-24 years"	"20-24"	1908
	"Alaska"	"02"	"2022"	"2022"	"25-29 years"	"25-29"	2676
	"Alaska"	"02"	"2022"	"2022"	"30-34 years"	"30-34"	2684
	"Alaska"	"02"	"2022"	"2022"	"35-39 years"	"35-39"	1410
	"Alaska"	"02"	"2022"	"2022"	"40-44 years"	"40-44"	306
	"Alaska"	"02"	"2022"	"2022"	"45-49 years"	"45-49"	11
	"Alaska"	"02"	"2022"	"2022"	"50 years and over"	"50+"	Suppressed
	"Alaska"	"02"	"2023"	"2023"	"Under 15 years"	"15"	Suppressed
	"Alaska"	"02"	"2023"	"2023"	"15-19 years"	"15-19"	342
	"Alaska"	"02"	"2023"	"2023"	"20-24 years"	"20-24"	1780
	"Alaska"	"02"	"2023"	"2023"	"25-29 years"	"25-29"	2564
	"Alaska"	"02"	"2023"	"2023"	"30-34 years"	"30-34"	2582
	"Alaska"	"02"	"2023"	"2023"	"35-39 years"	"35-39"	1429
	"Alaska"	"02"	"2023"	"2023"	"40-44 years"	"40-44"	291
	"Alaska"	"02"	"2023"	"2023"	"45-49 years"	"45-49"	21
	"Alaska"	"02"	"2023"	"2023"	"50 years and over"	"50+"	Suppressed
	"Arizona"	"04"	"2007"	"2007"	"Under 15 years"	"15"	181
	"Arizona"	"04"	"2007"	"2007"	"15-19 years"	"15-19"	12868
	"Arizona"	"04"	"2007"	"2007"	"20-24 years"	"20-24"	27875
	"Arizona"	"04"	"2007"	"2007"	"25-29 years"	"25-29"	28833
	"Arizona"	"04"	"2007"	"2007"	"30-34 years"	"30-34"	21037
	"Arizona"	"04"	"2007"	"2007"	"35-39 years"	"35-39"	9968
	"Arizona"	"04"	"2007"	"2007"	"40-44 years"	"40-44"	2079
	"Arizona"	"04"	"2007"	"2007"	"45-49 years"	"45-49"	135
	"Arizona"	"04"	"2007"	"2007"	"50 years and over"	"50+"	Suppressed
	"Arizona"	"04"	"2008"	"2008"	"Under 15 years"	"15"	164
	"Arizona"	"04"	"2008"	"2008"	"15-19 years"	"15-19"	12051
	"Arizona"	"04"	"2008"	"2008"	"20-24 years"	"20-24"	26240
	"Arizona"	"04"	"2008"	"2008"	"25-29 years"	"25-29"	28207
	"Arizona"	"04"	"2008"	"2008"	"30-34 years"	"30-34"	20662
	"Arizona"	"04"	"2008"	"2008"	"35-39 years"	"35-39"	10016
	"Arizona"	"04"	"2008"	"2008"	"40-44 years"	"40-44"	1979
	"Arizona"	"04"	"2008"	"2008"	"45-49 years"	"45-49"	116
	"Arizona"	"04"	"2008"	"2008"	"50 years and over"	"50+"	Suppressed
	"Arizona"	"04"	"2009"	"2009"	"Under 15 years"	"15"	133
	"Arizona"	"04"	"2009"	"2009"	"15-19 years"	"15-19"	10874
	"Arizona"	"04"	"2009"	"2009"	"20-24 years"	"20-24"	23972
	"Arizona"	"04"	"2009"	"2009"	"25-29 years"	"25-29"	26507
	"Arizona"	"04"	"2009"	"2009"	"30-34 years"	"30-34"	19761
	"Arizona"	"04"	"2009"	"2009"	"35-39 years"	"35-39"	9414
	"Arizona"	"04"	"2009"	"2009"	"40-44 years"	"40-44"	1982
	"Arizona"	"04"	"2009"	"2009"	"45-49 years"	"45-49"	150
	"Arizona"	"04"	"2009"	"2009"	"50 years and over"	"50+"	Suppressed
	"Arizona"	"04"	"2010"	"2010"	"Under 15 years"	"15"	108
	"Arizona"	"04"	"2010"	"2010"	"15-19 years"	"15-19"	9389
	"Arizona"	"04"	"2010"	"2010"	"20-24 years"	"20-24"	22371
	"Arizona"	"04"	"2010"	"2010"	"25-29 years"	"25-29"	25027
	"Arizona"	"04"	"2010"	"2010"	"30-34 years"	"30-34"	19391
	"Arizona"	"04"	"2010"	"2010"	"35-39 years"	"35-39"	9119
	"Arizona"	"04"	"2010"	"2010"	"40-44 years"	"40-44"	1926
	"Arizona"	"04"	"2010"	"2010"	"45-49 years"	"45-49"	140
	"Arizona"	"04"	"2010"	"2010"	"50 years and over"	"50+"	Suppressed
	"Arizona"	"04"	"2011"	"2011"	"Under 15 years"	"15"	102
	"Arizona"	"04"	"2011"	"2011"	"15-19 years"	"15-19"	8402
	"Arizona"	"04"	"2011"	"2011"	"20-24 years"	"20-24"	21898
	"Arizona"	"04"	"2011"	"2011"	"25-29 years"	"25-29"	24377
	"Arizona"	"04"	"2011"	"2011"	"30-34 years"	"30-34"	19431
	"Arizona"	"04"	"2011"	"2011"	"35-39 years"	"35-39"	9150
	"Arizona"	"04"	"2011"	"2011"	"40-44 years"	"40-44"	2062
	"Arizona"	"04"	"2011"	"2011"	"45-49 years"	"45-49"	116
	"Arizona"	"04"	"2011"	"2011"	"50 years and over"	"50+"	Suppressed
	"Arizona"	"04"	"2012"	"2012"	"Under 15 years"	"15"	70
	"Arizona"	"04"	"2012"	"2012"	"15-19 years"	"15-19"	8119
	"Arizona"	"04"	"2012"	"2012"	"20-24 years"	"20-24"	21833
	"Arizona"	"04"	"2012"	"2012"	"25-29 years"	"25-29"	24745
	"Arizona"	"04"	"2012"	"2012"	"30-34 years"	"30-34"	20131
