"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age Group"	"Age Group Code"	Population
	"Alabama"	"01"	"2000"	"2000"	"75-79 years"	"75-79"	118478
	"Alabama"	"01"	"2000"	"2000"	"80-84 years"	"80-84"	78201
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	67561
"Total"	"Alabama"	"01"	"2000"	"2000"			4452173
	"Alabama"	"01"	"2001"	"2001"	"< 1 year"	"1"	61537
	"Alabama"	"01"	"2001"	"2001"	"1-4 years"	"1-4"	235087
	"Alabama"	"01"	"2001"	"2001"	"5-9 years"	"5-9"	307526
	"Alabama"	"01"	"2001"	"2001"	"10-14 years"	"10-14"	323615
	"Alabama"	"01"	"2001"	"2001"	"15-19 years"	"15-19"	321866
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	318741
	"Alabama"	"01"	"2001"	"2001"	"25-29 years"	"25-29"	286763
	"Alabama"	"01"	"2001"	"2001"	"30-34 years"	"30-34"	302186
	"Alabama"	"01"	"2001"	"2001"	"35-39 years"	"35-39"	330870
	"Alabama"	"01"	"2001"	"2001"	"40-44 years"	"40-44"	347133
	"Alabama"	"01"	"2001"	"2001"	"45-49 years"	"45-49"	323347
	"Alabama"	"01"	"2001"	"2001"	"50-54 years"	"50-54"	300108
	"Alabama"	"01"	"2001"	"2001"	"55-59 years"	"55-59"	231202
	"Alabama"	"01"	"2001"	"2001"	"60-64 years "	"60-64"	193822
	"Alabama"	"01"	"2001"	"2001"	"65-69 years"	"65-69"	169261
	"Alabama"	"01"	"2001"	"2001"	"70-74 years"	"70-74"	149001
	"Alabama"	"01"	"2001"	"2001"	"75-79 years"	"75-79"	118750
	"Alabama"	"01"	"2001"	"2001"	"80-84 years"	"80-84"	79883
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	66936
"Total"	"Alabama"	"01"	"2001"	"2001"			4467634
	"Alabama"	"01"	"2002"	"2002"	"< 1 year"	"1"	58963
	"Alabama"	"01"	"2002"	"2002"	"1-4 years"	"1-4"	237083
	"Alabama"	"01"	"2002"	"2002"	"5-9 years"	"5-9"	302632
	"Alabama"	"01"	"2002"	"2002"	"10-14 years"	"10-14"	325008
	"Alabama"	"01"	"2002"	"2002"	"15-19 years"	"15-19"	320749
	"Alabama"	"01"	"2002"	"2002"	"20-24 years"	"20-24"	322812
	"Alabama"	"01"	"2002"	"2002"	"25-29 years"	"25-29"	281003
	"Alabama"	"01"	"2002"	"2002"	"30-34 years"	"30-34"	302668
	"Alabama"	"01"	"2002"	"2002"	"35-39 years"	"35-39"	321114
	"Alabama"	"01"	"2002"	"2002"	"40-44 years"	"40-44"	345023
	"Alabama"	"01"	"2002"	"2002"	"45-49 years"	"45-49"	330998
	"Alabama"	"01"	"2002"	"2002"	"50-54 years"	"50-54"	298908
	"Alabama"	"01"	"2002"	"2002"	"55-59 years"	"55-59"	248643
	"Alabama"	"01"	"2002"	"2002"	"60-64 years "	"60-64"	198880
	"Alabama"	"01"	"2002"	"2002"	"65-69 years"	"65-69"	170495
	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	147964
	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	119599
	"Alabama"	"01"	"2002"	"2002"	"80-84 years"	"80-84"	81123
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	66424
"Total"	"Alabama"	"01"	"2002"	"2002"			4480089
	"Alabama"	"01"	"2003"	"2003"	"< 1 year"	"1"	58021
	"Alabama"	"01"	"2003"	"2003"	"1-4 years"	"1-4"	237183
	"Alabama"	"01"	"2003"	"2003"	"5-9 years"	"5-9"	299148
	"Alabama"	"01"	"2003"	"2003"	"10-14 years"	"10-14"	326642
	"Alabama"	"01"	"2003"	"2003"	"15-19 years"	"15-19"	321655
	"Alabama"	"01"	"2003"	"2003"	"20-24 years"	"20-24"	326983
	"Alabama"	"01"	"2003"	"2003"	"25-29 years"	"25-29"	280387
	"Alabama"	"01"	"2003"	"2003"	"30-34 years"	"30-34"	302722
	"Alabama"	"01"	"2003"	"2003"	"35-39 years"	"35-39"	312160
	"Alabama"	"01"	"2003"	"2003"	"40-44 years"	"40-44"	343191
	"Alabama"	"01"	"2003"	"2003"	"45-49 years"	"45-49"	337237
	"Alabama"	"01"	"2003"	"2003"	"50-54 years"	"50-54"	302120
	"Alabama"	"01"	"2003"	"2003"	"55-59 years"	"55-59"	258551
	"Alabama"	"01"	"2003"	"2003"	"60-64 years "	"60-64"	207119
	"Alabama"	"01"	"2003"	"2003"	"65-69 years"	"65-69"	173635
	"Alabama"	"01"	"2003"	"2003"	"70-74 years"	"70-74"	147332
	"Alabama"	"01"	"2003"	"2003"	"75-79 years"	"75-79"	120741
	"Alabama"	"01"	"2003"	"2003"	"80-84 years"	"80-84"	83097
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	65567
"Total"	"Alabama"	"01"	"2003"	"2003"			4503491
	"Alabama"	"01"	"2004"	"2004"	"< 1 year"	"1"	58927
	"Alabama"	"01"	"2004"	"2004"	"1-4 years"	"1-4"	237043
	"Alabama"	"01"	"2004"	"2004"	"5-9 years"	"5-9"	297554
	"Alabama"	"01"	"2004"	"2004"	"10-14 years"	"10-14"	326228
	"Alabama"	"01"	"2004"	"2004"	"15-19 years"	"15-19"	325095
	"Alabama"	"01"	"2004"	"2004"	"20-24 years"	"20-24"	326749
	"Alabama"	"01"	"2004"	"2004"	"25-29 years"	"25-29"	283864
	"Alabama"	"01"	"2004"	"2004"	"30-34 years"	"30-34"	299896
	"Alabama"	"01"	"2004"	"2004"	"35-39 years"	"35-39"	305558
	"Alabama"	"01"	"2004"	"2004"	"40-44 years"	"40-44"	342253
	"Alabama"	"01"	"2004"	"2004"	"45-49 years"	"45-49"	340768
	"Alabama"	"01"	"2004"	"2004"	"50-54 years"	"50-54"	307605
	"Alabama"	"01"	"2004"	"2004"	"55-59 years"	"55-59"	270380
	"Alabama"	"01"	"2004"	"2004"	"60-64 years "	"60-64"	214983
	"Alabama"	"01"	"2004"	"2004"	"65-69 years"	"65-69"	176683
	"Alabama"	"01"	"2004"	"2004"	"70-74 years"	"70-74"	147028
	"Alabama"	"01"	"2004"	"2004"	"75-79 years"	"75-79"	120322
	"Alabama"	"01"	"2004"	"2004"	"80-84 years"	"80-84"	84290
	"Alabama"	"01"	"2004"	"2004"	"85+ years"	"85+"	65503
"Total"	"Alabama"	"01"	"2004"	"2004"			4530729
	"Alabama"	"01"	"2005"	"2005"	"< 1 year"	"1"	59424
	"Alabama"	"01"	"2005"	"2005"	"1-4 years"	"1-4"	237017
	"Alabama"	"01"	"2005"	"2005"	"5-9 years"	"5-9"	298450
	"Alabama"	"01"	"2005"	"2005"	"10-14 years"	"10-14"	323028
	"Alabama"	"01"	"2005"	"2005"	"15-19 years"	"15-19"	330753
	"Alabama"	"01"	"2005"	"2005"	"20-24 years"	"20-24"	326727
	"Alabama"	"01"	"2005"	"2005"	"25-29 years"	"25-29"	290568
	"Alabama"	"01"	"2005"	"2005"	"30-34 years"	"30-34"	295263
	"Alabama"	"01"	"2005"	"2005"	"35-39 years"	"35-39"	303456
	"Alabama"	"01"	"2005"	"2005"	"40-44 years"	"40-44"	339299
	"Alabama"	"01"	"2005"	"2005"	"45-49 years"	"45-49"	344392
	"Alabama"	"01"	"2005"	"2005"	"50-54 years"	"50-54"	314839
	"Alabama"	"01"	"2005"	"2005"	"55-59 years"	"55-59"	284084
	"Alabama"	"01"	"2005"	"2005"	"60-64 years "	"60-64"	220403
	"Alabama"	"01"	"2005"	"2005"	"65-69 years"	"65-69"	179942
	"Alabama"	"01"	"2005"	"2005"	"70-74 years"	"70-74"	149085
	"Alabama"	"01"	"2005"	"2005"	"75-79 years"	"75-79"	120923
	"Alabama"	"01"	"2005"	"2005"	"80-84 years"	"80-84"	84762
	"Alabama"	"01"	"2005"	"2005"	"85+ years"	"85+"	67390
"Total"	"Alabama"	"01"	"2005"	"2005"			4569805
	"Alabama"	"01"	"2006"	"2006"	"< 1 year"	"1"	60823
	"Alabama"	"01"	"2006"	"2006"	"1-4 years"	"1-4"	236399
	"Alabama"	"01"	"2006"	"2006"	"5-9 years"	"5-9"	303581
	"Alabama"	"01"	"2006"	"2006"	"10-14 years"	"10-14"	321867
	"Alabama"	"01"	"2006"	"2006"	"15-19 years"	"15-19"	337003
	"Alabama"	"01"	"2006"	"2006"	"20-24 years"	"20-24"	326239
	"Alabama"	"01"	"2006"	"2006"	"25-29 years"	"25-29"	302813
	"Alabama"	"01"	"2006"	"2006"	"30-34 years"	"30-34"	288248
	"Alabama"	"01"	"2006"	"2006"	"35-39 years"	"35-39"	308663
	"Alabama"	"01"	"2006"	"2006"	"40-44 years"	"40-44"	334043
	"Alabama"	"01"	"2006"	"2006"	"45-49 years"	"45-49"	348601
	"Alabama"	"01"	"2006"	"2006"	"50-54 years"	"50-54"	323309
	"Alabama"	"01"	"2006"	"2006"	"55-59 years"	"55-59"	297745
	"Alabama"	"01"	"2006"	"2006"	"60-64 years "	"60-64"	226567
	"Alabama"	"01"	"2006"	"2006"	"65-69 years"	"65-69"	184594
	"Alabama"	"01"	"2006"	"2006"	"70-74 years"	"70-74"	151454
	"Alabama"	"01"	"2006"	"2006"	"75-79 years"	"75-79"	122066
	"Alabama"	"01"	"2006"	"2006"	"80-84 years"	"80-84"	85688
	"Alabama"	"01"	"2006"	"2006"	"85+ years"	"85+"	69278
"Total"	"Alabama"	"01"	"2006"	"2006"			4628981
	"Alabama"	"01"	"2007"	"2007"	"< 1 year"	"1"	62907
	"Alabama"	"01"	"2007"	"2007"	"1-4 years"	"1-4"	237393
	"Alabama"	"01"	"2007"	"2007"	"5-9 years"	"5-9"	306013
	"Alabama"	"01"	"2007"	"2007"	"10-14 years"	"10-14"	320407
	"Alabama"	"01"	"2007"	"2007"	"15-19 years"	"15-19"	341279
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	327293
	"Alabama"	"01"	"2007"	"2007"	"25-29 years"	"25-29"	307619
	"Alabama"	"01"	"2007"	"2007"	"30-34 years"	"30-34"	286033
	"Alabama"	"01"	"2007"	"2007"	"35-39 years"	"35-39"	312470
	"Alabama"	"01"	"2007"	"2007"	"40-44 years"	"40-44"	326486
	"Alabama"	"01"	"2007"	"2007"	"45-49 years"	"45-49"	348251
	"Alabama"	"01"	"2007"	"2007"	"50-54 years"	"50-54"	332544
	"Alabama"	"01"	"2007"	"2007"	"55-59 years"	"55-59"	298032
	"Alabama"	"01"	"2007"	"2007"	"60-64 years "	"60-64"	244043
	"Alabama"	"01"	"2007"	"2007"	"65-69 years"	"65-69"	189797
	"Alabama"	"01"	"2007"	"2007"	"70-74 years"	"70-74"	152814
	"Alabama"	"01"	"2007"	"2007"	"75-79 years"	"75-79"	121729
	"Alabama"	"01"	"2007"	"2007"	"80-84 years"	"80-84"	86812
	"Alabama"	"01"	"2007"	"2007"	"85+ years"	"85+"	70918
"Total"	"Alabama"	"01"	"2007"	"2007"			4672840
	"Alabama"	"01"	"2008"	"2008"	"< 1 year"	"1"	63816
	"Alabama"	"01"	"2008"	"2008"	"1-4 years"	"1-4"	241026
	"Alabama"	"01"	"2008"	"2008"	"5-9 years"	"5-9"	306682
	"Alabama"	"01"	"2008"	"2008"	"10-14 years"	"10-14"	319503
	"Alabama"	"01"	"2008"	"2008"	"15-19 years"	"15-19"	345580
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	328751
	"Alabama"	"01"	"2008"	"2008"	"25-29 years"	"25-29"	311504
	"Alabama"	"01"	"2008"	"2008"	"30-34 years"	"30-34"	287272
	"Alabama"	"01"	"2008"	"2008"	"35-39 years"	"35-39"	313869
	"Alabama"	"01"	"2008"	"2008"	"40-44 years"	"40-44"	318765
	"Alabama"	"01"	"2008"	"2008"	"45-49 years"	"45-49"	348148
	"Alabama"	"01"	"2008"	"2008"	"50-54 years"	"50-54"	340006
	"Alabama"	"01"	"2008"	"2008"	"55-59 years"	"55-59"	301833
	"Alabama"	"01"	"2008"	"2008"	"60-64 years "	"60-64"	254507
	"Alabama"	"01"	"2008"	"2008"	"65-69 years"	"65-69"	198122
	"Alabama"	"01"	"2008"	"2008"	"70-74 years"	"70-74"	156112
	"Alabama"	"01"	"2008"	"2008"	"75-79 years"	"75-79"	121862
	"Alabama"	"01"	"2008"	"2008"	"80-84 years"	"80-84"	88254
	"Alabama"	"01"	"2008"	"2008"	"85+ years"	"85+"	72594
"Total"	"Alabama"	"01"	"2008"	"2008"			4718206
	"Alabama"	"01"	"2009"	"2009"	"< 1 year"	"1"	61793
	"Alabama"	"01"	"2009"	"2009"	"1-4 years"	"1-4"	243619
	"Alabama"	"01"	"2009"	"2009"	"5-9 years"	"5-9"	307864
	"Alabama"	"01"	"2009"	"2009"	"10-14 years"	"10-14"	319072
	"Alabama"	"01"	"2009"	"2009"	"15-19 years"	"15-19"	346611
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	332117
	"Alabama"	"01"	"2009"	"2009"	"25-29 years"	"25-29"	312199
	"Alabama"	"01"	"2009"	"2009"	"30-34 years"	"30-34"	293352
	"Alabama"	"01"	"2009"	"2009"	"35-39 years"	"35-39"	312797
	"Alabama"	"01"	"2009"	"2009"	"40-44 years"	"40-44"	313852
	"Alabama"	"01"	"2009"	"2009"	"45-49 years"	"45-49"	348256
	"Alabama"	"01"	"2009"	"2009"	"50-54 years"	"50-54"	344478
	"Alabama"	"01"	"2009"	"2009"	"55-59 years"	"55-59"	307017
	"Alabama"	"01"	"2009"	"2009"	"60-64 years "	"60-64"	265870
	"Alabama"	"01"	"2009"	"2009"	"65-69 years"	"65-69"	205667
	"Alabama"	"01"	"2009"	"2009"	"70-74 years"	"70-74"	159088
	"Alabama"	"01"	"2009"	"2009"	"75-79 years"	"75-79"	121679
	"Alabama"	"01"	"2009"	"2009"	"80-84 years"	"80-84"	88283
	"Alabama"	"01"	"2009"	"2009"	"85+ years"	"85+"	74324
"Total"	"Alabama"	"01"	"2009"	"2009"			4757938
	"Alabama"	"01"	"2010"	"2010"	"< 1 year"	"1"	59248
	"Alabama"	"01"	"2010"	"2010"	"1-4 years"	"1-4"	244998
	"Alabama"	"01"	"2010"	"2010"	"5-9 years"	"5-9"	307255
	"Alabama"	"01"	"2010"	"2010"	"10-14 years"	"10-14"	320129
	"Alabama"	"01"	"2010"	"2010"	"15-19 years"	"15-19"	340824
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	337762
	"Alabama"	"01"	"2010"	"2010"	"25-29 years"	"25-29"	311137
	"Alabama"	"01"	"2010"	"2010"	"30-34 years"	"30-34"	299429
	"Alabama"	"01"	"2010"	"2010"	"35-39 years"	"35-39"	306600
	"Alabama"	"01"	"2010"	"2010"	"40-44 years"	"40-44"	311592
	"Alabama"	"01"	"2010"	"2010"	"45-49 years"	"45-49"	345435
	"Alabama"	"01"	"2010"	"2010"	"50-54 years"	"50-54"	347915
	"Alabama"	"01"	"2010"	"2010"	"55-59 years"	"55-59"	314046
	"Alabama"	"01"	"2010"	"2010"	"60-64 years "	"60-64"	278302
	"Alabama"	"01"	"2010"	"2010"	"65-69 years"	"65-69"	210709
	"Alabama"	"01"	"2010"	"2010"	"70-74 years"	"70-74"	161559
	"Alabama"	"01"	"2010"	"2010"	"75-79 years"	"75-79"	123132
	"Alabama"	"01"	"2010"	"2010"	"80-84 years"	"80-84"	89198
	"Alabama"	"01"	"2010"	"2010"	"85+ years"	"85+"	76244
"Total"	"Alabama"	"01"	"2010"	"2010"			4785514
	"Alabama"	"01"	"2011"	"2011"	"< 1 year"	"1"	59180
	"Alabama"	"01"	"2011"	"2011"	"1-4 years"	"1-4"	243675
	"Alabama"	"01"	"2011"	"2011"	"5-9 years"	"5-9"	304701
	"Alabama"	"01"	"2011"	"2011"	"10-14 years"	"10-14"	321595
	"Alabama"	"01"	"2011"	"2011"	"15-19 years"	"15-19"	329897
	"Alabama"	"01"	"2011"	"2011"	"20-24 years"	"20-24"	346685
	"Alabama"	"01"	"2011"	"2011"	"25-29 years"	"25-29"	310132
	"Alabama"	"01"	"2011"	"2011"	"30-34 years"	"30-34"	304308
	"Alabama"	"01"	"2011"	"2011"	"35-39 years"	"35-39"	296423
	"Alabama"	"01"	"2011"	"2011"	"40-44 years"	"40-44"	314505
	"Alabama"	"01"	"2011"	"2011"	"45-49 years"	"45-49"	337163
	"Alabama"	"01"	"2011"	"2011"	"50-54 years"	"50-54"	349056
	"Alabama"	"01"	"2011"	"2011"	"55-59 years"	"55-59"	320529
	"Alabama"	"01"	"2011"	"2011"	"60-64 years "	"60-64"	289745
	"Alabama"	"01"	"2011"	"2011"	"65-69 years"	"65-69"	214752
	"Alabama"	"01"	"2011"	"2011"	"70-74 years"	"70-74"	164588
	"Alabama"	"01"	"2011"	"2011"	"75-79 years"	"75-79"	124818
	"Alabama"	"01"	"2011"	"2011"	"80-84 years"	"80-84"	90035
	"Alabama"	"01"	"2011"	"2011"	"85+ years"	"85+"	77855
"Total"	"Alabama"	"01"	"2011"	"2011"			4799642
	"Alabama"	"01"	"2012"	"2012"	"< 1 year"	"1"	58528
	"Alabama"	"01"	"2012"	"2012"	"1-4 years"	"1-4"	240801
	"Alabama"	"01"	"2012"	"2012"	"5-9 years"	"5-9"	305763
	"Alabama"	"01"	"2012"	"2012"	"10-14 years"	"10-14"	319847
	"Alabama"	"01"	"2012"	"2012"	"15-19 years"	"15-19"	323876
	"Alabama"	"01"	"2012"	"2012"	"20-24 years"	"20-24"	353692
	"Alabama"	"01"	"2012"	"2012"	"25-29 years"	"25-29"	309973
	"Alabama"	"01"	"2012"	"2012"	"30-34 years"	"30-34"	306770
	"Alabama"	"01"	"2012"	"2012"	"35-39 years"	"35-39"	292568
	"Alabama"	"01"	"2012"	"2012"	"40-44 years"	"40-44"	316310
	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	327846
	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	347223
	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	327705
	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	287645
	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	231438
	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	169809
	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	126478
	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	90345
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	80015
"Total"	"Alabama"	"01"	"2012"	"2012"			4816632
	"Alabama"	"01"	"2013"	"2013"	"< 1 year"	"1"	57413
	"Alabama"	"01"	"2013"	"2013"	"1-4 years"	"1-4"	237401
	"Alabama"	"01"	"2013"	"2013"	"5-9 years"	"5-9"	307034
	"Alabama"	"01"	"2013"	"2013"	"10-14 years"	"10-14"	316966
	"Alabama"	"01"	"2013"	"2013"	"15-19 years"	"15-19"	321114
	"Alabama"	"01"	"2013"	"2013"	"20-24 years"	"20-24"	357272
	"Alabama"	"01"	"2013"	"2013"	"25-29 years"	"25-29"	311891
	"Alabama"	"01"	"2013"	"2013"	"30-34 years"	"30-34"	308111
	"Alabama"	"01"	"2013"	"2013"	"35-39 years"	"35-39"	291638
	"Alabama"	"01"	"2013"	"2013"	"40-44 years"	"40-44"	315790
	"Alabama"	"01"	"2013"	"2013"	"45-49 years"	"45-49"	319141
	"Alabama"	"01"	"2013"	"2013"	"50-54 years"	"50-54"	345889
	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	332787
	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	289420
	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	240016
	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	178027
	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	129801
	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	90320
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	81555
"Total"	"Alabama"	"01"	"2013"	"2013"			4831586
	"Alabama"	"01"	"2014"	"2014"	"< 1 year"	"1"	58335
	"Alabama"	"01"	"2014"	"2014"	"1-4 years"	"1-4"	235345
	"Alabama"	"01"	"2014"	"2014"	"5-9 years"	"5-9"	306366
	"Alabama"	"01"	"2014"	"2014"	"10-14 years"	"10-14"	313936
	"Alabama"	"01"	"2014"	"2014"	"15-19 years"	"15-19"	318455
	"Alabama"	"01"	"2014"	"2014"	"20-24 years"	"20-24"	354677
	"Alabama"	"01"	"2014"	"2014"	"25-29 years"	"25-29"	316908
	"Alabama"	"01"	"2014"	"2014"	"30-34 years"	"30-34"	307944
	"Alabama"	"01"	"2014"	"2014"	"35-39 years"	"35-39"	292715
	"Alabama"	"01"	"2014"	"2014"	"40-44 years"	"40-44"	311678
	"Alabama"	"01"	"2014"	"2014"	"45-49 years"	"45-49"	311791
	"Alabama"	"01"	"2014"	"2014"	"50-54 years"	"50-54"	344722
	"Alabama"	"01"	"2014"	"2014"	"55-59 years"	"55-59"	334944
	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	293929
	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	250180
	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	184037
	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	133191
	"Alabama"	"01"	"2014"	"2014"	"80-84 years"	"80-84"	91013
	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	83571
"Total"	"Alabama"	"01"	"2014"	"2014"			4843737
	"Alabama"	"01"	"2015"	"2015"	"< 1 year"	"1"	59123
	"Alabama"	"01"	"2015"	"2015"	"1-4 years"	"1-4"	234974
	"Alabama"	"01"	"2015"	"2015"	"5-9 years"	"5-9"	305327
	"Alabama"	"01"	"2015"	"2015"	"10-14 years"	"10-14"	309595
	"Alabama"	"01"	"2015"	"2015"	"15-19 years"	"15-19"	319636
	"Alabama"	"01"	"2015"	"2015"	"20-24 years"	"20-24"	346414
	"Alabama"	"01"	"2015"	"2015"	"25-29 years"	"25-29"	324598
	"Alabama"	"01"	"2015"	"2015"	"30-34 years"	"30-34"	305572
	"Alabama"	"01"	"2015"	"2015"	"35-39 years"	"35-39"	296063
	"Alabama"	"01"	"2015"	"2015"	"40-44 years"	"40-44"	304456
	"Alabama"	"01"	"2015"	"2015"	"45-49 years"	"45-49"	309094
	"Alabama"	"01"	"2015"	"2015"	"50-54 years"	"50-54"	340084
	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	337514
	"Alabama"	"01"	"2015"	"2015"	"60-64 years "	"60-64"	300052
	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	260381
	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	188757
	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	135588
	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	92153
	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	85422
"Total"	"Alabama"	"01"	"2015"	"2015"			4854803
	"Alabama"	"01"	"2016"	"2016"	"< 1 year"	"1"	59132
	"Alabama"	"01"	"2016"	"2016"	"1-4 years"	"1-4"	235484
	"Alabama"	"01"	"2016"	"2016"	"5-9 years"	"5-9"	304157
	"Alabama"	"01"	"2016"	"2016"	"10-14 years"	"10-14"	306647
	"Alabama"	"01"	"2016"	"2016"	"15-19 years"	"15-19"	320894
	"Alabama"	"01"	"2016"	"2016"	"20-24 years"	"20-24"	336245
	"Alabama"	"01"	"2016"	"2016"	"25-29 years"	"25-29"	333206
	"Alabama"	"01"	"2016"	"2016"	"30-34 years"	"30-34"	303693
	"Alabama"	"01"	"2016"	"2016"	"35-39 years"	"35-39"	300474
	"Alabama"	"01"	"2016"	"2016"	"40-44 years"	"40-44"	293840
	"Alabama"	"01"	"2016"	"2016"	"45-49 years"	"45-49"	311855
	"Alabama"	"01"	"2016"	"2016"	"50-54 years"	"50-54"	332135
	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	338598
	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	306459
	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	271317
	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	192746
	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	138612
	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	93928
	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	87402
"Total"	"Alabama"	"01"	"2016"	"2016"			4866824
	"Alabama"	"01"	"2017"	"2017"	"< 1 year"	"1"	58124
